Timestamp,What grade are you in?,What school do you go to?,How many classes would you like to answer questions about?,What's the name of this class? (Like Algebra I or AP Spanish 4 or something),Was your seat assigned?,What's your grade in this class? (1 to 100),How many rows from the front are you?,How many rows from the teacher are you?,How many homework and studying hours do you spend on this class each week?,How often do you visit your teacher outside of class for help?,What's the name of this class? (Like Algebra I or AP Spanish 4 or something),Was your seat assigned?,What's your grade in this class? (1 to 100),How many rows from the front are you?,How many rows from the teacher are you?,How many homework and studying hours do you spend on this class each week?,How often do you visit your teacher outside of class for help?,What's the name of this class? (Like Algebra I or AP Spanish 4 or something),Was your seat assigned?,What's your grade in this class? (1 to 100),How many rows from the front are you?,How many rows from the teacher are you?,How many homework and studying hours do you spend on this class each week?,How often do you visit your teacher outside of class for help?,What's the name of this class? (Like Algebra I or AP Spanish 4 or something),Was your seat assigned?,What's your grade in this class? (1 to 100),How many rows from the front are you?,How many rows from the teacher are you?,How many homework and studying hours do you spend on this class each week?,How often do you visit your teacher outside of class for help?,What's the name of this class? (Like Algebra I or AP Spanish 4 or something),Was your seat assigned?,What's your grade in this class? (1 to 100),How many rows from the front are you?,How many rows from the teacher are you?,How many homework and studying hours do you spend on this class each week?,How often do you visit your teacher outside of class for help?,What's the name of this class? (Like Algebra I or AP Spanish 4 or something),Was your seat assigned?,What's your grade in this class? (1 to 100),How many rows from the front are you?,How many rows from the teacher are you?,How many homework and studying hours do you spend on this class each week?,How often do you visit your teacher outside of class for help?,What's the name of this class? (Like Algebra I or AP Spanish 4 or something),Was your seat assigned?,What's your grade in this class? (1 to 100),How many rows from the front are you?,How many rows from the teacher are you?,How many homework and studying hours do you spend on this class each week?,How often do you visit your teacher outside of class for help?,What's the name of this class? (Like Algebra I or AP Spanish 4 or something),Was your seat assigned?,What's your grade in this class? (1 to 100),How many rows from the front are you?,How many rows from the teacher are you?,How many homework and studying hours do you spend on this class each week?,How often do you visit your teacher outside of class for help?
4/19/2018 11:59:23,Test,a,4 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP Stats,No,93.3,4,8,1,1,AP Physics,No,91,6,8,2,2,Science Fiction,Yes,95,1,3,7,2,AP Government,No,83,2,4,1,1
4/20/2018 10:10:08,12,test,2 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stats,No,93,3,4,1,1,a,Yes,34,10,10,10,5
4/20/2018 10:25:10,12,Saint Francis High School,2 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mystery,Yes,88.75,8,5,1,3,Physics,Yes,85,1,6,2,1
4/20/2018 10:28:59,12,,1 class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calculus,No,89,6,4,3,1
4/20/2018 10:30:24,12,Saint Francis ,2 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP Bio,Yes,94,3,4,4,3,AB Calculus ,Yes,81,6,7,2,2
4/20/2018 10:30:51,12,Saint Francis ,1 class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,Yes,82,3,3,4,1
4/20/2018 10:36:09,12,Saint Francis High School,6 classes,,,,,,,,,,,,,,,AP Phys,No,93,2,2,3,2,Sci-Fi with Gladych,Yes,94,1,1,3,1,APCS,Yes,96,2,2,3,3,AP Stats,No,89,2,2,2,1,WorldReligion with Fullerton,No,95,2,2,1,1,Gov ,Yes,94,2,2,1,1
4/20/2018 10:36:58,12,SFHS,7 classes,,,,,,,,Band,Yes,100,1,1,2,2,AP Stats,No,90,1,1,4,1,AP Chinese,Yes,92,2,2,6,3,AP Econ,No,95,3,3,5,2,AP English,Yes,87,2,2,6,1,AP Physics,No,88,5,5,5,2,Religion,No,100,1,1,2,1
4/20/2018 10:58:06,12,Presentation ,1 class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP govt,Yes,95,3,4,2,1
4/20/2018 11:10:38,12,SF,2 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP Calculus AB,Yes,80,1,1,4,1,Philosophy ,No,90,3,3,0,1
4/20/2018 11:31:18,12,Saint Francis,7 classes,,,,,,,,Statistics,Yes,92,4,4,2,2,AP Gov,No,85,3,3,4,3,APES,No,87,2,2,3,3,AP Psych,Yes,80,1,1,2,3,Creative Writing,No,99,2,2,1,2,English,Yes,88,2,4,3,3,Spirituality,No,100,5,5,1,1
4/20/2018 11:54:22,12,Saint Francis,1 class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,World Literature/Science Fiction,No,93,1,3,4,2
4/20/2018 11:56:45,12,Saint Francis High School,4 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian Spiritual,No,96,4,6,0,1,Trigonometry ,Yes,87,5,5,3,4,Science Fiction ,Yes,84,1,1,4,2,Gov,Yes,85,2,2,5,1
4/20/2018 12:03:46,12,Saint Francis,2 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP Chem,No,87,4,4,5,,English,Yes,95,6,4,2,1
4/20/2018 12:04:02,12,Saint Francis High School,3 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP Chemistry,No,99.54,3,3,3,1,AP Statistics,No,99.61,3,3,2,1,AP Government,No,96.33,4,4,3,1
4/20/2018 12:16:33,12,St. Francis,3 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stats,Yes,,4,4,0,1,Mystery,Yes,86,1,5,2,2,Band,Yes,98,4,4,1,2
4/20/2018 12:18:43,12,Saint Francis High School,4 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precalculus,Yes,95,4,1,2,1,World Lit/Sci Fi,No,94,1,5,3,2,World Religions,Yes,84,5,3,3,2,Economics,Yes,88,4,3,3,1
4/20/2018 12:19:10,12,Saint Francis High School,3 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP Gov,No,95,4,4,2,2,AP Calc BC,No,85,1,1,4,4,AP Econ,No,91,1,1,2,2
4/20/2018 13:11:30,12,Saint Francis ,1 class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sci Fi,No,95,2,2,3,1
4/20/2018 14:17:46,12,Presentation,3 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP environmental science ,No,95,2,2,3,1,Ap psych ,No,89,3,3,1,1,Ap stats,No,96,3,3,2,1
4/20/2018 16:33:42,12,St. Francis,2 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP Calc BC,No,98,1,2,4,2,AP French Language,No,100,2,1,2,1
4/22/2018 12:16:55,9,Presentation ,4 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Algebra 2,Yes,94,4,4,2,2,Biology,Yes,92,3,3,1,1,Christian Scriptures,No,98,4,3,1,1,Spanish,Yes,96,3,1,1,1
4/22/2018 12:37:22,12,Presentation High School,6 classes,,,,,,,,,,,,,,,Social Justice,No,99,3,8,0,2,AP Calc BC,Yes,93,2,4,7,2,Honors Physics,No,95,4,2,3,2,Photography II,No,99,4,2,1,1,AP Poetry,No,92,1,2,2,2,AP Statistics,No,94,4,1,3,3
4/25/2018 20:13:11,12,Saint Francis,2 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP Stats,No,82,5,5,2,1,Christian Vocation ,No,95,1,2,1,1
4/26/2018 15:59:37,12,SfHS,4 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP stats ,No,91,2,2,0,1,AP LIT,No,93,2,2,4,4,APES,No,33,10,1,6,4,Philosophy ,Yes,77,10,10,9,4
4/26/2018 16:08:52,12,Saint Francis High School,1 class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Behavioral Psychology,,100,3,3,1,1
4/27/2018 10:33:31,12,Saint Francis,1 class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP Macro,No,80,3,4,0,2
4/28/2018 18:28:39,12,bellarmine,8 classes,religion,No,73,3,2,3,5,Honors Physical Education,Yes,100,,,,1,Captain America dies in infinity war,Yes,100,4,4,1,3,,,,,,,,,,,,,,,im tired of thsshit,,,,,,,im too tired for this,,,,,,,,,,,,,
5/15/2018 9:12:32,12,saint francis ,7 classes,,,,,,,,AP Stats ,No,98,2,2,3,1,Spanish 4 ,Yes,98,1,1,1,1,Ap bio ,No,98,3,3,0,1,christian vocations ,Yes,100,4,4,0,1,AP Lit ,No,96,1,1,1,1,AP Gov ,No,98,2,2,2,1,ap bio lab ,No,100,3,3,0,1
5/15/2018 12:51:26,12,Saint Francis,1 class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spanish 3,Yes,82,3,3,3,2
5/15/2018 14:06:14,Freshman in college,UC Davis,1 class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chemistry 3C,No,80,10,10,3,1
5/15/2018 14:25:27,12,Mountain view,1 class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philosophy in literature,Yes,94,1,5,2,1
5/15/2018 14:53:15,9,Saint Francis ,7 classes,,,,,,,,Algebra 1H,No,71,6,5,7,4,English ,Yes,,7,6,3,2,PE,Yes,100,2,10,0,1,Religion ,Yes,100,6,1,,,,,,,,,,,,,,,,,,,,,,,
5/15/2018 15:19:15,12,Saint Francis High School,3 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,World Literature/Sci-Fi,Yes,94,1,1,1,1,Advanced Team 2,No,100,1,1,0,1,AP Physics,No,88,5,5,3,2
5/15/2018 15:23:15,12,Presentation High School,1 class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Justice ,No,96,3,6,0,1
5/15/2018 15:52:12,9,St francis,1 class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biology,Yes,98,3,3,1,2
5/15/2018 16:58:37,12,SfHs,1 class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guitar 1,No,95,5,5,1,1
5/15/2018 17:00:28,12,Saint Francis,1 class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP Stats,No,72.5,4,2,1,1
5/15/2018 17:17:24,12,SFHS ,3 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP Stats,No,98,3,3,1,1,APES,No,93,1,1,3,2,Econ,Yes,91,1,1,0,1
5/15/2018 18:23:03,11,SFHS,1 class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PreCalc,No,97,4,5,2,2
5/15/2018 22:03:18,11,Monta Vista,6 classes,,,,,,,,,,,,,,,PE weight training,No,100,6,6,0,1,AP Physics 1,Yes,96,4,4,6,2,Spanish 3,Yes,85,1,1,1,1,AP Calculus BC,No,80,2,2,6,1,American Lit,Yes,96,1,1,2,1,APUSH,Yes,91,1,4,10,3
5/15/2018 22:43:52,12,Sf ,1 class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP physics ,No,100,5,5,4,2